,,,,,,,,,,,,,,,,,,,,,,
Day,Time,Hours,Topic,Details and Resources,PIC,To do,,,,,,,,,,,,,,,,
3,09:30am - 11:30am,2,Advanced System Navigation.pptx ,"Player: Topic covers reports, CSV import/export, Promotion, Pricebooks. Advance knowledge on features, QR order and pay, Beep delivery, Membership, engage, etc. 

Trainer: To keep track of time and ensure player complete in a timely manner",Player,Update slides and migrate to Lark,,,,,,,,,,,,,,,,
,11:30am - 01:00pm,1.5,Advanced Troubleshooting.pptx ,"Player: Self study on basic networking & troubleshooting for printers issue such as IP Address, feed test, reset printer, configure printer

Trainer: To keep track of time and ensure player complete in a timely manner",Player,Update slides and migrate to Lark,,,,,,,,,,,,,,,,
,01:00pm - 02:00pm,1,Lunch,,,,,,,,,,,,,,,,,,,
,02:00pm - 02:30pm,0.5,Quick Sync Up,Trainer: Conduct a quick sync up to address players concern on topics that they have learned.,Trainer,,,,,,,,,,,,,,,,,
,02:30pm - 03:30pm,1,Advance System & Networking Quiz,"Player: Complete 35 questions. Achieve a minimal score of 80%, there will be no retake. Use slides as reference as this is an open book test

Quiz link: here",Player,,,,,,,,,,,,,,,,,
,03:30pm - 05:30pm,2,Brand Servicing.pptx ,Player: Self-study essential soft skills to effectively demonstrate when interacting with merchants.,Player,,,,,,,,,,,,,,,,,
,05:30pm - 06:30pm,1,[Care] Tools & Supply Chain.pptx ,"Player: Self study all internal tools such as Intercom, Aircall, etc also understand the process of supply chain
",Player,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
4,09:30am - 10:30am,1,Hardware Assessment ,"Player: Demonstrate basic troubleshooting, refer to knowledge based on the scenario given. Achieve a minimal score of 80%

Trainer: Evaluate players based on the list below and assess 
1. Give a scenario and player assmble hardwares
2. Search Printer
3. How to conduct Feed Test 
4. Reset Printer 
5. Configure Printer 
6. Fix IP Address",Trainer,,,,,,,,,,,,,,,,,
,10:30am - 11:30am,1,Case Study review,"Player: Review the Intercom tickets to grasp the understanding of the conversation flow from a live interaction. The conversation flow must be practiced during the Mock Test.

Trainer: Ensure that the player has an Intercom access to review tickets, inform TL to send Intercom access.

TL: Ensure to send Intercom ticket access.",Player,Update Quiz form,,,,,,,,,,,,,,,,
,11:30am - 12:30am,1,Self - Prepare for Mock Test,Player: Spend time to revise all slides ,Player,Migrate to lark: slides,,,,,,,,,,,,,,,,
,01:00pm - 02:00pm,1 hour,Lunch,,,,,,,,,,,,,,,,,,,
,02:00pm - 05:00pm,3,Mock flow and Mock test!,"Player: Pass the mock test by meeting the requirements. 

Trainer: Create a ticket through care.storehub.com, go to intercom and assign ticket to the respective player. Send intercom ticket to player and chat through care.storehub.com",Player,Migrate to Lark,,,,,,,,,,,,,,,,
,05:00pm - 06:30pm,,Handover to TL,,Player,Migrate to lark: here,,,,,,,,,,,,,,,,